paper,#Statements,#Resources,#DistResources,#Literals,#DistLiterals,#Predicates,#DistPredicates
R194870,46,64,19,28,28,46,38
R194875,47,65,19,29,29,47,38
R194884,72,99,28,45,45,72,65
R194895,69,94,26,44,44,69,58
R194905,45,63,19,27,27,45,38
R194922,70,96,27,44,44,70,58
R194932,76,105,30,47,47,76,67
R194954,87,121,35,53,53,87,60
R194974,69,96,28,42,42,69,58
R113160,128,184,51,72,72,128,83
R195005,74,104,31,44,44,74,58
R195023,60,84,23,36,36,60,42
R195107,45,63,19,27,27,45,38
R195113,89,123,34,55,55,89,65
R195124,51,71,21,31,31,51,42
R113204,90,125,36,55,55,90,71
R195129,85,120,34,50,50,85,60
R76818,132,182,51,82,82,132,86
R195144,75,105,30,45,45,75,58
R195153,85,120,33,50,50,85,58
R195173,51,69,19,33,33,51,38
R195179,73,97,25,49,49,73,58
R195182,92,129,35,55,55,92,65
R195201,83,117,34,49,49,83,60
R195216,46,64,19,28,28,46,38
R195218,65,89,25,41,41,65,58
R195224,78,109,30,47,47,78,58
R76792,138,189,51,87,87,138,84
R108199,134,189,54,79,79,134,85
R195495,85,117,32,53,53,85,65
R113008,103,142,40,64,64,103,75
R195513,46,64,19,28,28,46,38
R195519,69,95,27,43,43,69,58
R113067,112,161,49,63,63,112,78
R195551,82,114,33,50,50,82,58
R112434,96,133,37,59,59,96,75
R195578,81,113,31,49,49,81,58
R195587,81,113,32,49,49,81,58
R195597,111,158,41,64,64,111,66
R195664,44,62,19,26,26,44,38
R195669,53,73,21,33,33,53,42
R195679,74,105,32,43,43,74,60
R195692,87,119,31,55,55,87,65
R195713,83,116,32,50,50,83,60
R195728,93,128,32,58,58,93,58
R195743,46,64,19,28,28,46,38
R195749,75,104,29,46,46,75,58
R195767,77,106,30,48,48,77,60
R195789,80,113,34,47,47,80,65
R195806,80,112,31,48,48,80,58
R195849,108,152,41,64,64,108,67
R195857,78,111,33,45,45,78,60
R195866,84,117,32,51,51,84,58
R195982,71,97,26,45,45,71,58
R195986,72,101,30,43,43,72,61
R195995,47,65,19,29,29,47,38
R195998,88,124,36,52,52,88,65
R196009,72,98,27,46,46,72,58
R196014,92,128,34,56,56,92,65
R196021,90,125,35,55,55,90,60
R196033,86,123,36,49,49,86,65
R196046,97,140,42,54,54,97,65
R196065,55,77,23,33,33,55,42
R196070,99,144,41,54,54,99,65
R197609,75,107,29,43,43,75,42
R198663,84,117,32,51,51,84,58
R198673,65,89,25,41,41,65,58
R198681,87,124,36,50,50,87,60
R198689,83,116,33,50,50,83,65
R198706,81,111,29,51,51,81,58
R198724,66,91,26,41,41,66,58
R198795,65,89,25,41,41,65,58
R198797,76,105,28,47,47,76,58
R198808,66,90,25,42,42,66,58
R111988,139,197,53,81,81,139,85
R198833,137,196,44,78,78,137,59
R198856,72,99,27,45,45,72,58
R198877,69,98,28,40,40,69,42
R198904,51,71,20,31,31,51,38
R74547,300,421,101,179,179,300,147
R198917,83,116,31,50,50,83,59
R78432,166,242,75,90,90,166,86
R198944,115,168,46,62,62,115,65
R198964,89,121,31,57,57,89,58
R198972,79,109,31,49,49,79,65
R198979,95,134,37,56,56,95,65
R198994,80,111,31,49,49,80,58
R199005,86,118,30,54,54,86,58
R199014,72,99,27,45,45,72,58
R199023,66,91,26,41,41,66,58
R199028,83,117,33,49,49,83,65
R199039,55,78,23,32,32,55,42
R199113,72,99,28,45,45,72,65
R199123,71,99,28,43,43,71,60
R199136,89,124,34,54,54,89,65
R199149,83,115,31,51,51,83,58
R199158,74,102,27,46,46,74,58
R199162,65,89,25,41,41,65,58
R78392,125,174,48,76,76,125,76
R200042,70,96,27,44,44,70,58
R200045,70,97,27,43,43,70,58
R200049,83,118,35,48,48,83,60
R200061,83,117,33,49,49,83,60
R200098,72,99,27,45,45,72,58
R200106,65,89,25,41,41,65,58
R200119,85,119,33,51,51,85,58
R211096,77,109,31,45,45,77,57
R211106,79,114,34,44,44,79,60
R211121,72,103,31,41,41,72,57
R211137,66,92,24,40,40,66,37
R211145,79,112,31,46,46,79,59
R211154,55,77,22,33,33,55,42
R211177,81,112,31,50,50,81,64
R211188,66,91,26,41,41,66,57
R211198,89,123,32,55,55,89,58
